,lstm_unit,lstm_activation,dropout,loss,acc,precision,recall
0,2,relu,0.3,0.3092610538005829,0.7958762645721436,0.856872022151947,0.6384180784225464
1,2,relu,0.2,0.29529106616973877,0.7711340188980103,0.7896341681480408,0.7316384315490723
2,2,relu,0.1,0.269474059343338,0.7841924428939819,0.7762619256973267,0.8036723136901855
3,2,relu,0.4,0.34403425455093384,0.7731958627700806,0.7712264060974121,0.6927965879440308
4,2,tanh,0.3,0.2567179203033447,0.7931271195411682,0.8011404275894165,0.7937853336334229
5,2,tanh,0.2,0.24931833148002625,0.815807580947876,0.8285714387893677,0.7987288236618042
6,2,tanh,0.1,0.24060775339603424,0.8213058710098267,0.8247349858283997,0.8241525292396545
7,2,tanh,0.4,0.2634097933769226,0.8164948225021362,0.8314937353134155,0.7980226278305054
8,4,relu,0.3,0.26829642057418823,0.8144329786300659,0.8324324488639832,0.7612994313240051
9,4,relu,0.2,0.24671192467212677,0.8130584359169006,0.8171589374542236,0.8206214904785156
10,4,relu,0.1,0.21572870016098022,0.8426116704940796,0.8421052694320679,0.8474576473236084
11,4,relu,0.4,0.30514803528785706,0.800687313079834,0.8203773498535156,0.7676553726196289
12,4,tanh,0.3,0.23495230078697205,0.8219931125640869,0.8264285922050476,0.8170903921127319
13,4,tanh,0.2,0.22447285056114197,0.8288660049438477,0.8342816233634949,0.8283898234367371
14,4,tanh,0.1,0.21647660434246063,0.8336769938468933,0.8376486897468567,0.8453390002250671
15,4,tanh,0.4,0.2622234523296356,0.8089346885681152,0.8166786432266235,0.8022598624229431
16,8,relu,0.3,0.20277051627635956,0.8549827933311462,0.8438560962677002,0.8778248429298401
17,8,relu,0.2,0.20188269019126892,0.8563573956489563,0.8604326844215393,0.8707627058029175
18,8,relu,0.1,0.197306290268898,0.8474226593971252,0.8536067605018616,0.8524011373519897
19,8,relu,0.4,0.24046432971954346,0.8247422575950623,0.8245010375976562,0.846045196056366
20,8,tanh,0.3,0.20774711668491364,0.8419243693351746,0.8460471630096436,0.8615819215774536
21,8,tanh,0.2,0.19460570812225342,0.8419243693351746,0.8564321398735046,0.8509886860847473
22,8,tanh,0.1,0.2039901465177536,0.8439862728118896,0.8497884273529053,0.8509886860847473
23,8,tanh,0.4,0.19682350754737854,0.8432989716529846,0.8584905862808228,0.8354519605636597
24,16,relu,0.3,0.20641054213047028,0.8446735143661499,0.8451389074325562,0.8594632744789124
25,16,relu,0.2,0.20029529929161072,0.8419243693351746,0.8496188521385193,0.8658192157745361
26,16,relu,0.1,0.19960545003414154,0.854295551776886,0.8546348214149475,0.8594632744789124
27,16,relu,0.4,0.1937149316072464,0.8487972617149353,0.8450993895530701,0.8707627058029175
28,16,tanh,0.3,0.20371493697166443,0.8481099605560303,0.8546470999717712,0.8637005686759949
29,16,tanh,0.2,0.20022287964820862,0.8371133804321289,0.8439915776252747,0.8481638431549072
30,16,tanh,0.1,0.20738661289215088,0.853608250617981,0.8564391136169434,0.8594632744789124
31,16,tanh,0.4,0.20706793665885925,0.8529209494590759,0.8532684445381165,0.866525411605835
32,128,relu,0.3,0.8901417255401611,0.5085910558700562,0.5432742238044739,0.3679378628730774
33,128,relu,0.2,0.21647785604000092,0.8302405476570129,0.8216689229011536,0.8622881174087524
34,128,relu,0.1,3.718863010406494,0.44742268323898315,0.5268505215644836,0.2563559412956238
35,128,relu,0.4,0.5057286620140076,0.5525773167610168,0.6578072905540466,0.4194915294647217
36,128,tanh,0.3,0.22076565027236938,0.8432989716529846,0.8547602295875549,0.8686440587043762
37,128,tanh,0.2,0.18987548351287842,0.8584192395210266,0.8699646592140198,0.869350254535675
38,128,tanh,0.1,0.19679786264896393,0.8481099605560303,0.865949809551239,0.8531073331832886
39,128,tanh,0.4,0.20599021017551422,0.8563573956489563,0.8614206314086914,0.8735875487327576
40,256,relu,0.3,2.1521410942077637,0.4199312627315521,0.40700218081474304,0.5254237055778503
41,256,relu,0.2,0.38628870248794556,0.7099656462669373,0.7519446611404419,0.6144067645072937
42,256,relu,0.1,0.25341638922691345,0.8130584359169006,0.8275613188743591,0.8100282549858093
43,256,relu,0.4,3.3375744819641113,0.45292097330093384,0.694915235042572,0.028954802080988884
44,256,tanh,0.3,0.19629746675491333,0.8549827933311462,0.8602527976036072,0.8651130199432373
45,256,tanh,0.2,0.2082834541797638,0.8577319383621216,0.8673684000968933,0.8728813529014587
46,256,tanh,0.1,0.21111364662647247,0.8529209494590759,0.8561643958091736,0.8827683329582214
47,256,tanh,0.4,0.20236742496490479,0.8570446968078613,0.8644304871559143,0.8735875487327576
